Application Name:	ZOOMA (Automatic Ontology Mapper)
Version:	2.0
Run at:	13:50.34, 03.10.23
Run from:	http://www.ebi.ac.uk/fgpt/zooma


PROPERTY TYPE	PROPERTY VALUE	ONTOLOGY TERM LABEL(S)	ONTOLOGY TERM SYNONYM(S)	CONFIDENCE	ONTOLOGY TERM(S)	ONTOLOGY(S)	SOURCE(S)	STUDY
[NO TYPE]	 'chickens',	chicken breed		Medium	LBO_0000002	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/vg/faang	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'chickens',	Chicken crossbreed		Medium	LBO_0001037	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/vg/faang	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Panonychus citri',	Panonychus citri		Medium	NCBITaxon_50023	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Panonychus citri',	Panonychus citri mivirus		Medium	NCBITaxon_2760845	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Eastern bluebird',	Bluebird Creek		Medium	GAZ_00285320	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/gaz	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Eastern bluebird',	Bluebird Creek		Medium	GAZ_00300343	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/gaz	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Canis lupus',	Canis lupus familiaris		Good	NCBITaxon_9615	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Odocoileus virginianus',	Odocoileus virginianus		Medium	VTO_0011289	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Odocoileus virginianus',	White-tailed, Suriname (Deer)		Medium	VBO_0007984	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vbo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'bluefin tuna',	Thunnus thynnus		Good	NCBITaxon_8237	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'European rabbit',	Oryctolagus cuniculus		Good	NCBITaxon_9986	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ohpi.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Haliaeetus leucocephalus',	Haliaeetus leucocephalus		Good	VTO_0031049	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lemna gibba',	Lemna gibba		Good	NCBITaxon_4470	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/metabolights	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Daphnia parvula',	Daphnia parvula		Medium	NCBITaxon_132684	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Daphnia parvula',	Daphnia cf. parvula sp. 2 Argentina		Medium	NCBITaxon_575217	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mustela putorius furo',	Mustela putorius furo		Good	NCIT_C161001	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Macaca fascicularis',	Macaca fascicularis		Good	NCBITaxon_9541	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'rodentia',	Rodentia		Medium	NCIT_C14270	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'rodentia',	Rodentia		Medium	OMIT_0013284	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mesocricetus auratus',	Syrian Hamster		Good	NCIT_C77095	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Oncorhynchus mykiss',	Oncorhynchus mykiss		Good	NCBITaxon_8022	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/vg/faang	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'tritonea diomedea',	Diomedea		Medium	VTO_0032758	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'tritonea diomedea',	Diomedea		Medium	NCBITaxon_37068	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Xenopus (Silurana) n. sp. tetraploid-1',	Xenopus (Silurana) sp. BOLD:AAH0940		Good	NCBITaxon_698687	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Order carcharhiniformes',	Carcharhiniformes		Medium	TTO_1087	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/tto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Order carcharhiniformes',	Carcharhiniformes		Medium	VTO_0000124	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Chlamydomonas reinhardtii',	Chlamydomonas reinhardtii		High	NCBITaxon_3055	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Odocoileus hemionus',	Odocoileus hemionus		Good	VTO_0011290	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'honeybee',	honeybee metagenome		Good	NCBITaxon_910258	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Cynops pyrrhogaster',	Cynops pyrrhogaster		Medium	VTO_0002023	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Cynops pyrrhogaster',	Cynops pyrrhogaster		Medium	NCBITaxon_8330	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Aonyx cinereus',	Aonyx cinereus		Medium	NCBITaxon_452597	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Aonyx cinereus',	Aonyx cinereus (organism)		Medium	445080004	http://snomed.info/id/	http://snomed.info/sct/900000000000207008	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Atlantic killifish',	Fundulus heteroclitus		Good	NCBITaxon_8078	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/foodon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'rats',	colitis		Medium	EFO_0003872	http://www.ebi.ac.uk/efo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'rats',	ZDF		Medium	RS_0001101	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Echinogammarus marinus',	Echinogammarus		Medium	NCBITaxon_248952	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Echinogammarus marinus',	mannosylglycerate synthase (Rhodothermus marinus)		Medium	PR_Q9RFR0	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/pr.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Bubalus bubalis',	Bubalus bubalis		Good	NCBITaxon_89462	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/vg/faang	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Oncorhynchus keta',	Oncorhynchus keta		Medium	TTO_1010565	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/tto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Oncorhynchus keta',	Oncorhynchus keta		Medium	OMIT_0017992	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'rhesus monkeys',	Macaca mulatta		Good	NCBITaxon_9544	http://purl.obolibrary.org/obo/	https://bio.scai.fraunhofer.de/ontology/epilepsy	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Xenopus laevis',	Xenopus laevis		Good	NCBITaxon_8355	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Cavia porcellus',	Cavia porcellus		Good	VTO_0012605	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Ovis orientalis aries',	Ovis aries		Good	NCIT_C161044	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Phasianus colchicus',	Phasianus colchicus		Medium	VTO_0031706	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Phasianus colchicus',	Phasianus colchicus		Medium	NCBITaxon_9054	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Rana cyanophlyetis',	Rana <subgenus>		Medium	NCBITaxon_121175	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/foodon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Rana cyanophlyetis',	Rana <genus>		Medium	NCBITaxon_8399	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/foodon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Honey bee',	Apis mellifera		Good	NCBITaxon_7460	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/pr.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Locusta migratoria',	Locusta migratoria		Good	OMIT_0024021	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps coprotheres',	Gyps coprotheres		Medium	NCBITaxon_8966	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps coprotheres',	Gyps coprotheres		Medium	VTO_0030996	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'chaetanaphothrips orchidii',	Chaetanaphothrips orchidii		Good	NCBITaxon_1675519	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mus sp. 2000082',	Mus sp. 2000082		Medium	VTO_0014659	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mus sp. 2000082',	Mus sp. 2000082		Medium	NCBITaxon_310402	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'hydra',	Hydra		Good	OMIT_0007970	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Daphnia pulicaria',	Daphnia pulicaria		Good	NCBITaxon_35523	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'zebrafish',	Zebrafish		Good	OMIT_0015849	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lepeophtheirus salmonis',	Lepeophtheirus salmonis		Good	NCBITaxon_72036	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Castor fiber',	Castor fiber		Medium	NCBITaxon_10185	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Castor fiber',	Castor fiber		Medium	VTO_0012969	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mus musculus',	Mus musculus		Good	NCBITaxon_10090	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Canis familiaris',	Canis lupus familiaris		Good	NCBITaxon_9615	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Chilo suppressalis',	Chilo suppressalis		Medium	NCBITaxon_168631	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Chilo suppressalis',	Chilo suppressalis exposure		Medium	PECO_0007279	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/peco.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'fathead minnow',	Fathead minnow nidovirus 1		Good	NCBITaxon_1965074	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'canine heartworm nematode',	nematode		Good	IDOMAL_0001272	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/idomal.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps africanus',	Gyps africanus		Medium	NCBITaxon_43490	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps africanus',	Gyps africanus		Medium	VTO_0030999	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Trichoplusia ni',	Trichoplusia ni		Good	NCBITaxon_7111	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Nycticorax nycticorax',	Nycticorax		Good	VTO_0032484	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Rattus sp. ABTC 43906',	Rattus sp. ABTC 43906		Medium	VTO_0014859	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Rattus sp. ABTC 43906',	Rattus sp. ABTC 43906		Medium	NCBITaxon_435440	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Macaca mulatta',	Macaca mulatta		Good	NCBITaxon_9544	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lampsilis fasciola',	Lampsilis fasciola		Medium	NCBITaxon_96915	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lampsilis fasciola',	Fasciola		Medium	NCIT_C122021	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Colinus virginianus',	Colinus virginianus		Good	VTO_0031667	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Aphis glycines',	Aphis glycines		Medium	NCBITaxon_307491	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Aphis glycines',	Aphis glycines virus		Medium	NCBITaxon_1435459	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Helix lucorum',	Helix lucorum		Medium	NCBITaxon_31229	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Helix lucorum',	Helix lucorum taurica		Medium	NCBITaxon_225484	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Anodonta cygnea',	Anodonta cygnea		Good	NCBITaxon_47528	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Human, rat, mouse',	Human Anti-Mouse Antibody		Medium	NCIT_C18062	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Human, rat, mouse',	Mouse Models of Human Cancer		Medium	NCIT_C19260	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Monodelphis domestica',	Monodelphis domestica		Good	NCBITaxon_13616	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Cynopterus brachyotis',	Cynopterus brachyotis		Medium	NCBITaxon_58060	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Cynopterus brachyotis',	Cynopterus brachyotis		Medium	VTO_0008857	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Manis javanica',	Manis javanica		Good	VTO_0008722	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Panthera leo',	Panthera leo		Good	VTO_0010828	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Monkey sp.',	Mesocestoides sp. Squirrel monkey		Medium	NCBITaxon_1458438	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Monkey sp.',	monkey		Medium	IDOMAL_0001219	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/idomal.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'salmonid fish',	salmonid fish		Good	NCBITaxon_36500	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'CD-1 mouse',	CD-1 Nude Mouse		Medium	NCIT_C15152	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'CD-1 mouse',	ICR BR Mouse		Medium	NCIT_C76183	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Felis catus',	Cat		Good	NCIT_C14191	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Nilaparvata lugens',	Nilaparvata lugens		Good	NCBITaxon_108931	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'domestic cattle',	Bos taurus		Good	NCBITaxon_9913	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/MicrO.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Coturnix japonica',	Coturnix japonica		Good	NCBITaxon_93934	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'rat',	colitis		Medium	EFO_0003872	http://www.ebi.ac.uk/efo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'rat',	ZDF		Medium	RS_0001101	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'bank vole',	bank vole virus 1		Medium	NCBITaxon_2756244	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'bank vole',	Bank vole polyomavirus		Medium	NCBITaxon_1737522	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Perca flavescens',	Perca flavescens		Good	TTO_1036974	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/tto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'teleost fish',	teleost fish		Medium	NCBITaxon_70862	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'teleost fish',	teleost fish 32F1		Medium	NCBITaxon_497143	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Anopheles quadrimaculatus',	Anopheles quadrimaculatus		Good	MIRO_40003441	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/miro.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Ectropis obliqua',	Ectropis obliqua		Medium	NCBITaxon_248899	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Ectropis obliqua',	Ectropis obliqua nucleopolyhedrovirus		Medium	NCBITaxon_59376	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Monkey',	monkey		Good	IDOMAL_0001219	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/idomal.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'hymenoptera',	Hymenoptera		Good	OMIT_0008061	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Canis lupus familiaris',	Canis lupus familiaris		Good	NCBITaxon_9615	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Xenopus laevis laevis',	Xenopus laevis		Good	NCBITaxon_8355	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Nasua nasua',	Nasua		Medium	NCBITaxon_9650	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Nasua nasua',	Nasua		Medium	VTO_0010695	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Brassica napus',	Brassica napus		Good	NCBITaxon_3708	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Ambystoma mexicanum',	Ambystoma mexicanum		Good	OMIT_0001977	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'human, mouse, rat',	Human Anti-Mouse Antibody		Medium	NCIT_C18062	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'human, mouse, rat',	Mouse Models of Human Cancer		Medium	NCIT_C19260	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lymnaea stagnalis',	Lymnaea stagnalis		Medium	NCBITaxon_6523	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lymnaea stagnalis',	Lymnaea stagnalis (organism)		Medium	18495002	http://snomed.info/id/	http://snomed.info/sct/900000000000207008	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Panthera tigris',	Panthera tigris		Good	VTO_0010827	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Odontesthes bonariensis',	Odontesthes bonariensis		Medium	VTO_0055475	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Odontesthes bonariensis',	Odontesthes bonariensis		Medium	TTO_1034051	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/tto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Daphnia magna',	Daphnia magna		Good	NCBITaxon_35525	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/metabolights	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Panthera uncia',	Panthera uncia		Medium	NCBITaxon_29064	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Panthera uncia',	Panthera uncia		Medium	VTO_9026434	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Liriomyza trifolii',	Liriomyza trifolii		Medium	NCBITaxon_198433	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Liriomyza trifolii',	Wolbachia endosymbiont of Liriomyza trifolii		Medium	NCBITaxon_2867526	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lithobates catesbeianus',	Lithobates catesbeianus		Good	NCBITaxon_8400	http://purl.obolibrary.org/obo/	https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/ons.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gammarus pulex',	Gammarus pulex		Medium	NCBITaxon_52641	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gammarus pulex',	Gammarus cf. pulex Peloponnese		Medium	NCBITaxon_2164064	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
