Application Name:	ZOOMA (Automatic Ontology Mapper)
Version:	2.0
Run at:	13:50.34, 03.10.23
Run from:	http://www.ebi.ac.uk/fgpt/zooma


PROPERTY TYPE	PROPERTY VALUE	ONTOLOGY TERM LABEL(S)	ONTOLOGY TERM SYNONYM(S)	CONFIDENCE	ONTOLOGY TERM(S)	ONTOLOGY(S)	SOURCE(S)	STUDY
[NO TYPE]	 'channel catfish',	channel catfish allergenic extract		Good	DRON_00837853	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/dron.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'human and other cells in culture',	Human Cells, Tissues, and Cellular and Tissue-Based Products Not Specified Elsewhere		Medium	NCIT_C133296	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'human and other cells in culture',	other human exposure		Medium	GENEPIO_0001554	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/genepio.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'northern leopard frog',	RV-Leopard frog		Good	NCBITaxon_72486	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Melibe leonine',	Melibe		Medium	NCBITaxon_76177	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Melibe leonine',	Melibe engeli		Medium	NCBITaxon_797235	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'cat',	cat-eye syndrome		Good	MONDO_0007276	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/eva	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Salmo salar',	Salmo salar		Good	NCBITaxon_8030	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/vg/faang	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Bombyx mori',	Bombyx mori		Good	NCBITaxon_7091	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mammalia sp. AVB-2011',	Mammalia sp. AVB-2011		Medium	NCBITaxon_1002698	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mammalia sp. AVB-2011',	Mammalia sp. AVB-2011		Medium	VTO_0015576	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Ring-necked pheasant',	Ring-necked pheasant virus (organism)		Medium	407517000	http://snomed.info/id/	http://snomed.info/sct/900000000000207008	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Ring-necked pheasant',	Ring Neck Pheasant (Phasianus Colchicus), Cyprus (Pheasant)		Medium	VBO_0011960	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vbo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Paracyclopina nana',	Paracyclopina nana		Medium	NCBITaxon_565004	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Paracyclopina nana',	Paracyclopina		Medium	NCBITaxon_565003	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps himalayensis',	Gyps himalayensis		Medium	NCBITaxon_36248	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps himalayensis',	Gyps himalayensis		Medium	VTO_0030995	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Neovison vison',	Neovison vison		Medium	VTO_0010586	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Neovison vison',	Neovison vison (organism)		Medium	447523007	http://snomed.info/id/	http://snomed.info/sct/900000000000207008	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Bombus impatiens',	Bombus impatiens		Good	NCBITaxon_132113	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'SD rat',	SD/Rij, Rat Strain		Medium	NCIT_C14381	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'SD rat',	OFA SD, Rat Strain		Medium	NCIT_C76187	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Fundulus heteroclitus',	Fundulus heteroclitus		Medium	TTO_1013993	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/tto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Fundulus heteroclitus',	Fundulus heteroclitus		Medium	VTO_0054174	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'human',	Homo sapiens		Good	NCBITaxon_9606	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/metabolights	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'herring gull',	nuclear export protein (Influenza A virus (strain A/Herring gull/DE/677/1988 H2N8))		Medium	PR_O57275	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/pr.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'herring gull',	non-structural protein 1 (Influenza A virus (strain A/Herring gull/DE/677/1988 H2N8))		Medium	PR_O57276	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/pr.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'all species',	weevilsDmg_E_0to9		Good	CO_348:1000036	http://www.cropontology.org/rdf/	http://www.cropontology.org/ontology/CO_348/Brassica	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Bradysia hygida',	Bradysia hygida		Medium	NCBITaxon_35572	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Bradysia hygida',	Bradysia		Medium	NCBITaxon_35571	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'guinea pig',	Guinea pig, United Republic of Tanzania (Guinea pig)		Good	VBO_0010242	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vbo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Oryctolagus cuniculus',	Oryctolagus cuniculus		Good	NCBITaxon_9986	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/metabolights	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'pigs',	pig breed		Medium	LBO_0000003	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/vg/faang	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'pigs',	Pig crossbreed		Medium	LBO_0001040	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/vg/faang	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Grapholita molesta',	Grapholita molesta		Medium	NCBITaxon_192188	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Grapholita molesta',	Grapholita		Medium	NCBITaxon_293340	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'red-eared slider',	Red-eared slider ranavirus		Medium	NCBITaxon_2736690	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'red-eared slider',	Red eared slider adenovirus		Medium	NCBITaxon_1215921	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'medaka',	Medaka Hepatoma		Good	NCIT_C134571	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Bos taurus',	Bos taurus		Good	NCBITaxon_9913	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps rueppelli',	Gyps rueppelli		Medium	NCBITaxon_8967	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps rueppelli',	Gyps		Medium	VTO_0030993	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Artemia salina',	Artemia salina		Good	NCBITaxon_85549	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/foodon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Syrian hamsters',	Mesocricetus auratus		Medium	NCBITaxon_10036	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Syrian hamsters',	Cricetinae		Medium	NCBITaxon_10026	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ohpi.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Daphnia pulex',	Daphnia pulex		Good	NCBITaxon_6669	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/metabolights	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps fulvus',	Gyps fulvus		Medium	VTO_0031001	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps fulvus',	Gyps fulvus		Medium	NCBITaxon_36247	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Sus scrofa',	Sus scrofa		Good	NCBITaxon_9823	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gallus gallus',	Gallus gallus		Good	NCBITaxon_9031	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'turkey',	Turkey, Japan (Turkey)		Good	VBO_0016772	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vbo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lynx canadensis',	Lynx canadensis		Medium	NCBITaxon_61383	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lynx canadensis',	Lynx canadensis		Medium	VTO_0010801	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Microgadus tomcod',	Microgadus tomcod		Good	TTO_1011974	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/tto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Xenopus (Silurana) epitropicalis',	Xenopus epitropicalis		Medium	NCBITaxon_224340	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
